IP Address,Min RTT (ms),Avg RTT (ms),Max RTT (ms),Status
102.214.66.19,222.14,252.32,273.19,Success
102.214.66.39,197.59,234.52,277.35,Success
103.146.200.98,234.09,264.84,301.13,Success
103.185.255.183,N/A,N/A,N/A,Failed/Skipped
105.235.237.2,260.22,294.07,328.49,Success
107.1.167.50,60.12,60.65,61.25,Success
109.61.86.65,29.59,31.31,33.14,Success
109.61.94.65,145.57,185.70,222.93,Success
121.127.43.65,43.33,45.01,47.97,Success
121.127.45.65,110.58,136.18,189.69,Success
138.199.14.66,155.41,191.34,226.29,Success
138.199.4.1,172.79,206.66,240.93,Success
138.199.57.129,21.18,23.56,26.21,Success
143.244.63.144,193.09,218.14,253.91,Success
148.230.45.213,100.36,102.46,106.81,Success
148.230.59.38,91.85,94.59,99.89,Success
148.230.60.200,133.89,180.31,225.99,Success
152.204.128.194,77.92,79.57,83.13,Success
154.81.51.4,222.42,248.24,297.51,Success
156.146.40.65,160.51,190.86,211.99,Success
156.146.52.1,136.22,180.47,225.05,Success
156.146.53.53,56.34,56.49,56.60,Success
160.242.19.254,201.22,240.67,279.90,Success
169.150.202.193,210.45,252.94,302.57,Success
169.150.228.129,97.62,97.74,97.86,Success
169.150.238.161,326.79,367.87,405.60,Success
169.150.242.129,140.46,183.52,220.28,Success
169.150.252.2,149.78,198.32,247.76,Success
170.254.229.178,92.26,93.24,95.10,Success
173.243.131.29,34.92,35.47,36.31,Success
178.215.228.109,104.33,127.42,173.48,Success
185.102.217.170,172.78,205.41,238.78,Success
185.102.218.1,103.16,124.34,176.55,Success
185.102.219.93,135.40,172.85,217.37,Success
185.152.65.113,113.91,124.02,145.53,Success
185.152.66.67,30.07,30.99,31.98,Success
185.152.67.2,59.13,59.94,61.24,Success
185.180.12.40,146.46,179.70,213.02,Success
185.246.208.67,123.92,149.87,203.82,Success
185.59.221.51,160.69,187.44,225.55,Success
185.59.223.8,25.52,29.19,38.77,Success
185.76.9.135,121.46,156.69,194.68,Success
185.93.1.65,7.61,9.13,11.45,Success
185.93.2.193,101.45,138.57,190.56,Success
185.93.3.50,101.01,148.06,203.90,Success
195.181.162.195,32.57,34.74,38.38,Success
207.211.214.65,138.19,178.85,233.68,Success
209.40.123.215,52.14,54.52,59.59,Success
212.60.47.34,125.89,167.82,203.36,Success
212.60.92.134,154.14,166.25,187.43,Success
213.158.175.240,167.02,200.90,243.60,Success
217.61.40.96,113.12,136.71,200.13,Success
23.249.54.234,34.04,34.51,34.95,Success
23.249.55.42,201.66,226.78,258.98,Success
23.249.58.14,204.85,246.27,284.14,Success
23.249.60.154,170.78,204.28,237.69,Success
23.249.61.122,296.87,360.26,477.20,Success
37.19.203.1,133.00,162.54,199.34,Success
37.19.206.20,27.40,27.60,27.98,Success
37.19.216.1,36.84,37.66,38.36,Success
37.19.218.65,127.26,158.98,214.67,Success
41.110.39.130,128.75,155.16,220.02,Success
41.210.185.162,236.61,289.21,355.73,Success
41.226.22.119,140.69,168.01,248.24,Success
45.92.46.189,N/A,N/A,N/A,Failed/Skipped
66.35.20.123,74.91,75.11,75.32,Success
66.35.22.79,19.10,20.36,22.73,Success
66.35.27.207,38.93,39.83,40.17,Success
66.35.30.9,49.85,51.39,53.93,Success
66.35.31.81,142.18,176.29,245.57,Success
69.48.236.198,308.14,320.65,336.53,Success
69.48.237.66,174.66,179.52,185.88,Success
69.48.238.200,205.99,216.74,228.94,Success
69.48.239.124,242.98,252.28,259.45,Success
79.127.209.1,171.16,174.42,176.74,Success
84.17.41.11,56.09,56.90,57.67,Success
84.17.57.129,208.28,246.38,287.44,Success
84.17.59.129,159.84,223.56,324.85,Success
85.163.71.241,120.72,160.89,209.44,Success
86.96.154.106,207.84,243.57,297.83,Success
87.249.137.8,110.77,139.42,177.18,Success
89.187.160.1,147.65,161.81,176.39,Success
89.187.162.1,198.06,223.63,265.06,Success
89.187.164.1,32.50,32.90,33.08,Success
89.187.165.1,119.47,198.07,314.05,Success
96.45.38.22,207.60,277.37,369.26,Success
96.45.39.38,105.66,131.57,192.44,Success
96.45.40.45,94.82,102.17,122.49,Success
96.45.41.167,105.97,152.99,210.85,Success
96.45.42.156,95.18,101.84,121.41,Success
96.45.43.6,21.44,26.45,40.80,Success
96.45.44.87,203.27,239.31,302.48,Success
a110.speedtest.wobcom.de,110.31,138.20,171.02,Success
a204.speedtest.wobcom.de,95.76,122.92,202.47,Success
a205.speedtest.wobcom.de,114.04,162.36,207.94,Success
a208.speedtest.wobcom.de,97.70,127.28,208.87,Success
a209.speedtest.wobcom.de,207.09,240.70,273.55,Success
a210.speedtest.wobcom.de,249.32,277.81,306.29,Success
